name,ind_I1,ind_I2,ind_I3,ind_I4,ind_I5,weighted_mean,iso_a3
eSwatini,-1.453518545066848,0.47599999999999987,-0.7246987156357216,,-0.9103326871087456,-0.6531374869528288,SWZ
Malawi,-1.4951854290087045,-0.8440000000000003,-0.5860084560352246,0.6405648267008985,-0.9935118731901149,-0.6556281863066291,MWI
Rwanda,-1.4911820728257366,0.035999999999999865,-0.7006918422092692,-0.21437740693196394,-0.9802805318662751,-0.6701063707666489,RWA
Chad,-1.4942921029629859,0.8279999999999998,-0.9722520459953852,-0.8279845956354299,-0.9931427434358039,-0.691934297605921,TCD
Niger,-1.4959304786190812,0.25999999999999984,-0.9181156454913719,-0.4711168164313222,-0.9940246041416486,-0.7238375089366849,NER
Bosnia and Herz.,-1.4088568887405026,,-0.019386526296501616,,-0.7473983957322206,-0.7252139369230749,BIH
Cambodia,-1.481289734413168,,-0.31928485238259685,-0.21951219512195097,-0.9507683293186542,-0.7427137778090924,KHM
Uzbekistan,-1.4751109734588834,,0.1274120795589888,,-0.9162428581521375,-0.7546472506840107,UZB
Azerbaijan,-1.4064470033004537,,-0.025910944852135964,,-0.8951246204048117,-0.7758275228524671,AZE
Madagascar,-1.4967884762521262,,-0.658348357666743,0.016688061617458283,-0.9975709301301067,-0.7840049256078794,MDG
Guyana,-1.2763065539000422,,-0.30690481179926565,,-0.8239205633946174,-0.802377309697975,GUY
Mozambique,-1.4962684582575931,-1.5,-0.7600493602680176,0.7175866495507061,-0.990652667855756,-0.8058767673661322,MOZ
Jamaica,-1.4278289841965874,,-0.1715793332741844,,-0.8969414375428865,-0.8321165850045528,JAM
Algeria,-1.4490828011512566,,-0.1730141209711089,,-0.881428862351893,-0.8345085948247529,DZA
Burundi,-1.5,-0.5160000000000001,-0.6781626722763578,-0.5275994865211808,-0.9997258387025247,-0.8442975995000127,BDI
Zambia,-1.4850640795617083,-1.052,-0.6415430186981486,-0.09884467265725294,-0.9752869849788315,-0.8505477511791882,ZMB
Afghanistan,,,-0.630116155205231,-0.9999999999999998,-0.9523218324633957,-0.8608126625562088,AFG
Congo,-1.4701973986965615,,-0.5654973431012933,-0.4993581514762515,-0.980452460423133,-0.8788763384243098,COG
