name,ind_G1,ind_G2,ind_G3,ind_G4,ind_G5,ind_G6,ind_G7,weighted_mean,iso_a3
Brazil,0.39822194972409575,0.04115503980569413,-0.39429737515866226,-0.043818350185402144,-0.13991102274483447,-0.21038707880813223,0.18036998972250773,-0.02409526394924764,BRA
Ecuador,0.11741263028816673,0.07192011874240989,-0.4242917068031715,-0.2148212688168919,-0.24088540510041334,0.13161030835691923,0.34789311408016443,-0.030166029893259498,ECU
Panama,0.522072348252606,0.17312103629739584,-0.42648909383937483,-0.09223704734247362,-0.5714230790266854,-0.132078183386031,0.2985611510791367,-0.03263898113791804,PAN
Bosnia and Herz.,0.2749846719803801,-0.055458102820132305,-0.4496089523345582,-0.06710768833923086,0.09958876290072971,-0.22789115646258445,0.15981500513874625,-0.037953922848092826,BIH
Philippines,0.5459840588595954,-0.25138307920658487,-0.3825023305089905,-0.16682072247733726,-0.1599308559002609,-0.05377649452063832,0.16392600205549857,-0.04350048881410255,PHL
Indonesia,0.2988963825873696,-0.08001619214680888,-0.3327017866950994,-0.011642794685196689,-0.4775088413193973,-0.14223602484471998,0.30267214799588904,-0.06321958701542338,IDN
Rwanda,-0.71704475781729,-0.07623802455808937,0.13512179294151583,0.14637969453339994,-0.13372842125471518,0.5,-0.3170606372045221,-0.06608147905138585,RWA
Cuba,0.4423666462293072,-0.5188233706652274,-0.16101526226200724,-0.13916495020590625,,0.37204847809430863,-0.41469681397738956,-0.06988087879781911,CUB
Qatar,-0.2854077253218884,-0.10916205640264476,0.24902337809633135,0.5104825672724793,,-0.4274376417233561,-0.45375128468653647,-0.08604212712760251,QAT
India,0.41293684855916646,-0.3312643367966537,-0.2795845872798116,0.13141416143800244,-0.3095469175253367,-0.2560057233225388,0.015930113052415207,-0.08801720598210809,IND
El Salvador,0.36020846106683013,-0.26757522601538253,-0.4299992248665935,-0.27188760905765574,0.11558330011398166,-0.05296404275996075,-0.10328879753340187,-0.09284616272174036,SLV
Paraguay,0.5809319435928878,-0.05518823370665227,-0.6404687717953788,-0.20084060922588787,-0.43727849169333477,-0.21428571428571425,0.25128468653648517,-0.10226359865394215,PRY
Oman,-0.19650521152667072,0.1464039940628794,-0.10383705767812745,0.31316230437914294,,-0.46203132415757,-0.36536485097636173,-0.11136202431611793,OMN
Nigeria,0.8163703249540162,-0.3725543111590879,-0.6455442859972954,-0.3530989788622807,,-0.4410430839002268,0.30678314491264136,-0.11484786500870553,NGA
Côte d'Ivoire,-0.11557326793378297,0.03737687221697472,-0.29216429704175906,-0.14858974277252102,-0.27842510622791694,-0.26860035352723755,0.15673175745118195,-0.12989201969072298,CIV
